callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[t],H2O[t],Soot[t],SOx[t],NOx[t],CO[t],HC[t]
AAL87,73928.0,3513.96342066,30495.39309270672,96.36544217295533,37.50933350402961,0.0009148617927812098,0.036594471711248286,0.40676673305051253,0.07207497101805316,0.006157933384124375
DAL43,78297.0,3740.38159442,31807.577986989003,100.5119464388853,39.1233209239969,0.0009542273396096758,0.038169093584387054,0.4184993725429425,0.07422550086486035,0.006164982704563132
ACA879,81957.0,3717.65106671,88486.62707993324,279.61774157258543,108.83855130831623,0.002654598812397956,0.10618395249591799,1.3455976287151863,0.2005998104318555,0.007358912120051197
DAL17,78432.0,3330.33828661,82074.80426333365,259.35638147213473,100.9520092439009,0.0024622441279000193,0.09848976511600095,1.277611481302204,0.18466182514003388,0.006873655255183338
ACA893,80349.0,3629.1220556,84413.8715095165,266.7478339700722,103.82906195670441,0.0025324161452854746,0.10129664581141927,1.30143198219083,0.19257717508395142,0.007408946385354399
DLH422,75005.0,3262.50376598,27851.016220900117,88.00921125804496,34.25674995170691,0.0008355304866270024,0.033421219465079775,0.37384365724692864,0.06770047082247732,0.005864668344266162
AAL47,81139.0,3513.58854087,30074.248248726363,95.03462446597531,36.99132534593346,0.0009022274474617843,0.03608909789847185,0.40446511857748807,0.07184677962738441,0.0063163163307885664
ACA835,79237.0,3237.64172691,76663.92199569448,242.25799350639755,94.29662405470557,0.0022999176598708457,0.09199670639483398,1.1863894692076853,0.17174397065108332,0.00655634438696751
ACA881,79874.0,3290.357004,28665.323730941807,90.58242298977467,35.25834818905868,0.0008599597119282582,0.034398388477130434,0.381739992501524,0.06856012334124058,0.005849738518145739
TSC111,78009.0,3003.17505776,73955.88408953569,233.7005937229356,90.96573743012969,0.0022186765226860686,0.08874706090744292,1.1973848769934148,0.16488673550222152,0.006463315160974077
VPBMS,85610.0,4315.23850063,31895.96962656677,100.7912640199506,39.23204264067698,0.0009568790887970065,0.03827516355188014,0.4251979027662311,0.07438456144437801,0.0063738576461057584
BAW91C,86399.0,3572.73188414,32472.92526950187,102.61444385162667,39.94169808148724,0.0009741877580850574,0.03896751032340199,0.42659407071877087,0.06828891097715234,0.005429534940595948
EIN123,81263.0,3271.38526064,77341.57903612193,244.39938975414643,95.13014221442957,0.0023202473710836435,0.09280989484334697,1.2282552712129036,0.16865565935272925,0.006118758216925092
NAX5HB,86399.0,4650.70743112,32563.08522562647,102.89934931298004,40.05259482752023,0.0009768925567687904,0.0390757022707522,0.4412299360191088,0.07214882472150047,0.006541291557671091
ACA895,86399.0,3489.72605725,31185.464491346863,98.54606779265656,38.35812132435668,0.0009355639347404026,0.03742255738961613,0.4068408848150927,0.06784085653605822,0.005419751603804421
DLH426,85324.0,3513.61794664,82017.39981764635,259.1749834237635,100.88140177570499,0.0024605219945293896,0.09842087978117557,1.2915722999202925,0.18923769488236045,0.007440756570575672
SWR86,82240.0,3298.51382286,75948.48512563671,239.9972129970126,93.4166367045325,0.0022784545537691023,0.09113818215076432,1.211323127250296,0.170586123160713,0.006603471481182172
BAW295,86399.0,3477.48497906,30634.47249703892,96.80493309064256,37.680401171357836,0.0009190341749111719,0.03676136699644679,0.4070332591182925,0.068552504547348,0.005666575432624037
